"asset_id","parent_asset_id","asset_name","asset_class","asset_type","workstream","solution_block","product_family","product_models","production_stage","buyer_personas","buyer_problem","funnel_stage","channel","content_format","objective","key_message_or_function","primary_cta","route_or_destination","cadence","quantity","scope_treatment","mvp_required","priority","content_status","design_status","build_status","technical_validation_status","approval_status","owner","dependencies","source_refs","tags","notes"
"FA-0011","","Laser Diameter Gauge raw source folder","source-asset","source-record","source-intelligence","inline-measurement-dimensional-control","inline-measurement-dimensional-control","not-applicable","online-measurement","internal-operations","not-applicable","internal-operations","internal-operations","reference-record","Preserve an existing source asset with implementation traceability.","Existing source input; not a new buyer-facing deliverable.","not-applicable","master-implementation-backlog","not-applicable","1","signed-primary","no","high","approved","not-applicable","not-applicable","pending-puretronics-validation","not-applicable","unassigned","not-applicable","data/notion-export/raw-page-fetches/laser-diameter-gauge.json","asset-class-source-asset;channel-internal-operations;format-reference-record;funnel-internal-operations;persona-internal-operations;problem-not-applicable;product-family-inline-measurement-dimensional-control;readiness-approved;recurrence-not-applicable;scope-signed-primary;solution-inline-measurement-dimensional-control;stage-online-measurement;validation-technical-required;workstream-source-intelligence","Relevant raw child-page input from the 14-page source set. Technical claims require Puretronics validation before use."
"FA-0012","","Static Powder Applicator raw source folder","source-asset","source-record","source-intelligence","process-equipment-line-auxiliaries","process-equipment-line-auxiliaries","not-applicable","powdering-talc-application","internal-operations","not-applicable","internal-operations","internal-operations","reference-record","Preserve an existing source asset with implementation traceability.","Existing source input; not a new buyer-facing deliverable.","not-applicable","master-implementation-backlog","not-applicable","1","signed-primary","no","high","approved","not-applicable","not-applicable","pending-puretronics-validation","not-applicable","unassigned","not-applicable","data/notion-export/raw-page-fetches/static-powder-applicator.json","asset-class-source-asset;channel-internal-operations;format-reference-record;funnel-internal-operations;persona-internal-operations;problem-not-applicable;product-family-process-equipment-line-auxiliaries;readiness-approved;recurrence-not-applicable;scope-signed-primary;solution-process-equipment-line-auxiliaries;stage-powdering-talc-application;validation-technical-required;workstream-source-intelligence","Relevant raw child-page input from the 14-page source set. Technical claims require Puretronics validation before use."
"FA-0013","","Butt Welding Machine raw source page","source-asset","source-record","source-intelligence","process-equipment-line-auxiliaries","process-equipment-line-auxiliaries","not-applicable","joining-butt-welding","internal-operations","not-applicable","internal-operations","internal-operations","reference-record","Preserve an existing source asset with implementation traceability.","Existing source input; not a new buyer-facing deliverable.","not-applicable","master-implementation-backlog","not-applicable","1","signed-primary","no","high","approved","not-applicable","not-applicable","pending-puretronics-validation","not-applicable","unassigned","not-applicable","data/notion-export/raw-page-fetches/butt-welding-machine.json","asset-class-source-asset;channel-internal-operations;format-reference-record;funnel-internal-operations;persona-internal-operations;problem-not-applicable;product-family-process-equipment-line-auxiliaries;readiness-approved;recurrence-not-applicable;scope-signed-primary;solution-process-equipment-line-auxiliaries;stage-joining-butt-welding;validation-technical-required;workstream-source-intelligence","Relevant raw child-page input from the 14-page source set. Technical claims require Puretronics validation before use."
"FA-0014","","Fire Resistance Cable Testing System raw source page","source-asset","source-record","source-intelligence","cable-testing-validation","cable-testing-validation","not-applicable","fire-compliance-testing","internal-operations","not-applicable","internal-operations","internal-operations","reference-record","Preserve an existing source asset with implementation traceability.","Existing source input; not a new buyer-facing deliverable.","not-applicable","master-implementation-backlog","not-applicable","1","signed-primary","no","high","approved","not-applicable","not-applicable","pending-puretronics-validation","not-applicable","unassigned","not-applicable","data/notion-export/raw-page-fetches/fire-resistance-cable-testing-system.json","asset-class-source-asset;channel-internal-operations;format-reference-record;funnel-internal-operations;persona-internal-operations;problem-not-applicable;product-family-cable-testing-validation;readiness-approved;recurrence-not-applicable;scope-signed-primary;solution-cable-testing-validation;stage-fire-compliance-testing;validation-technical-required;workstream-source-intelligence","Relevant raw child-page input from the 14-page source set. Technical claims require Puretronics validation before use."
"FA-0015","","Inline Induction Wire Preheater raw source page","source-asset","source-record","source-intelligence","process-equipment-line-auxiliaries","process-equipment-line-auxiliaries","not-applicable","pre-extrusion-preheating","internal-operations","not-applicable","internal-operations","internal-operations","reference-record","Preserve an existing source asset with implementation traceability.","Existing source input; not a new buyer-facing deliverable.","not-applicable","master-implementation-backlog","not-applicable","1","signed-primary","no","high","approved","not-applicable","not-applicable","pending-puretronics-validation","not-applicable","unassigned","not-applicable","data/notion-export/raw-page-fetches/inline-induction-wire-preheater.json","asset-class-source-asset;channel-internal-operations;format-reference-record;funnel-internal-operations;persona-internal-operations;problem-not-applicable;product-family-process-equipment-line-auxiliaries;readiness-approved;recurrence-not-applicable;scope-signed-primary;solution-process-equipment-line-auxiliaries;stage-pre-extrusion-preheating;validation-technical-required;workstream-source-intelligence","Relevant raw child-page input from the 14-page source set. Technical claims require Puretronics validation before use."
"FA-0016","","Loadcell raw source page","source-asset","source-record","source-intelligence","tension-braking-line-control","tension-braking-line-control","not-applicable","tension-braking-control","internal-operations","not-applicable","internal-operations","internal-operations","reference-record","Preserve an existing source asset with implementation traceability.","Existing source input; not a new buyer-facing deliverable.","not-applicable","master-implementation-backlog","not-applicable","1","signed-primary","no","high","approved","not-applicable","not-applicable","pending-puretronics-validation","not-applicable","unassigned","not-applicable","data/notion-export/raw-page-fetches/loadcell.json","asset-class-source-asset;channel-internal-operations;format-reference-record;funnel-internal-operations;persona-internal-operations;problem-not-applicable;product-family-tension-braking-line-control;readiness-approved;recurrence-not-applicable;scope-signed-primary;solution-tension-braking-line-control;stage-tension-braking-control;validation-technical-required;workstream-source-intelligence","Relevant raw child-page input from the 14-page source set. Technical claims require Puretronics validation before use."
"FA-0017","","LTC-PRO raw source page","source-asset","source-record","source-intelligence","tension-braking-line-control","tension-braking-line-control","not-applicable","tension-braking-control","internal-operations","not-applicable","internal-operations","internal-operations","reference-record","Preserve an existing source asset with implementation traceability.","Existing source input; not a new buyer-facing deliverable.","not-applicable","master-implementation-backlog","not-applicable","1","signed-primary","no","high","approved","not-applicable","not-applicable","pending-puretronics-validation","not-applicable","unassigned","not-applicable","data/notion-export/raw-page-fetches/ltc-pro.json","asset-class-source-asset;channel-internal-operations;format-reference-record;funnel-internal-operations;persona-internal-operations;problem-not-applicable;product-family-tension-braking-line-control;readiness-approved;recurrence-not-applicable;scope-signed-primary;solution-tension-braking-line-control;stage-tension-braking-control;validation-technical-required;workstream-source-intelligence","Relevant raw child-page input from the 14-page source set. Technical claims require Puretronics validation before use."
"FA-0018","","Pneumatic Brake raw source page","source-asset","source-record","source-intelligence","tension-braking-line-control","tension-braking-line-control","not-applicable","pay-off-unwind","internal-operations","not-applicable","internal-operations","internal-operations","reference-record","Preserve an existing source asset with implementation traceability.","Existing source input; not a new buyer-facing deliverable.","not-applicable","master-implementation-backlog","not-applicable","1","signed-primary","no","high","approved","not-applicable","not-applicable","pending-puretronics-validation","not-applicable","unassigned","not-applicable","data/notion-export/raw-page-fetches/pneumatic-brake.json","asset-class-source-asset;channel-internal-operations;format-reference-record;funnel-internal-operations;persona-internal-operations;problem-not-applicable;product-family-tension-braking-line-control;readiness-approved;recurrence-not-applicable;scope-signed-primary;solution-tension-braking-line-control;stage-pay-off-unwind;validation-technical-required;workstream-source-intelligence","Relevant raw child-page input from the 14-page source set. Technical claims require Puretronics validation before use."
"FA-0019","","Spark Tester with IoT Accessories raw source page","source-asset","source-record","source-intelligence","inline-spark-testing-insulation-fault-detection","inline-spark-testing-insulation-fault-detection","not-applicable","spark-fault-inspection","internal-operations","not-applicable","internal-operations","internal-operations","reference-record","Preserve an existing source asset with implementation traceability.","Existing source input; not a new buyer-facing deliverable.","not-applicable","master-implementation-backlog","not-applicable","1","signed-primary","no","high","approved","not-applicable","not-applicable","pending-puretronics-validation","not-applicable","unassigned","not-applicable","data/notion-export/raw-page-fetches/spark-tester-with-iot-accessories.json","asset-class-source-asset;channel-internal-operations;format-reference-record;funnel-internal-operations;persona-internal-operations;problem-not-applicable;product-family-inline-spark-testing-insulation-fault-detection;readiness-approved;recurrence-not-applicable;scope-signed-primary;solution-inline-spark-testing-insulation-fault-detection;stage-spark-fault-inspection;validation-technical-required;workstream-source-intelligence","Relevant raw child-page input from the 14-page source set. Technical claims require Puretronics validation before use."
"FA-0020","","Spark Tester raw source page","source-asset","source-record","source-intelligence","inline-spark-testing-insulation-fault-detection","inline-spark-testing-insulation-fault-detection","not-applicable","spark-fault-inspection","internal-operations","not-applicable","internal-operations","internal-operations","reference-record","Preserve an existing source asset with implementation traceability.","Existing source input; not a new buyer-facing deliverable.","not-applicable","master-implementation-backlog","not-applicable","1","signed-primary","no","high","approved","not-applicable","not-applicable","pending-puretronics-validation","not-applicable","unassigned","not-applicable","data/notion-export/raw-page-fetches/spark-tester.json","asset-class-source-asset;channel-internal-operations;format-reference-record;funnel-internal-operations;persona-internal-operations;problem-not-applicable;product-family-inline-spark-testing-insulation-fault-detection;readiness-approved;recurrence-not-applicable;scope-signed-primary;solution-inline-spark-testing-insulation-fault-detection;stage-spark-fault-inspection;validation-technical-required;workstream-source-intelligence","Relevant raw child-page input from the 14-page source set. Technical claims require Puretronics validation before use."
"FA-0021","","Spark Tester Sensitivity Calibrator raw source page","source-asset","source-record","source-intelligence","inline-spark-testing-insulation-fault-detection","inline-spark-testing-insulation-fault-detection","not-applicable","calibration-support","internal-operations","not-applicable","internal-operations","internal-operations","reference-record","Preserve an existing source asset with implementation traceability.","Existing source input; not a new buyer-facing deliverable.","not-applicable","master-implementation-backlog","not-applicable","1","signed-primary","no","high","approved","not-applicable","not-applicable","pending-puretronics-validation","not-applicable","unassigned","not-applicable","data/notion-export/raw-page-fetches/spark-tester-sensitivity-calibrator.json","asset-class-source-asset;channel-internal-operations;format-reference-record;funnel-internal-operations;persona-internal-operations;problem-not-applicable;product-family-inline-spark-testing-insulation-fault-detection;readiness-approved;recurrence-not-applicable;scope-signed-primary;solution-inline-spark-testing-insulation-fault-detection;stage-calibration-support;validation-technical-required;workstream-source-intelligence","Relevant raw child-page input from the 14-page source set. Technical claims require Puretronics validation before use."
"FA-0022","","Wire & Cable Brochure raw source page","source-asset","source-record","source-intelligence","cross-family","cross-family","not-applicable","cross-stage","internal-operations","not-applicable","internal-operations","internal-operations","reference-record","Preserve an existing source asset with implementation traceability.","Existing source input; not a new buyer-facing deliverable.","not-applicable","master-implementation-backlog","not-applicable","1","signed-primary","no","high","approved","not-applicable","not-applicable","pending-puretronics-validation","not-applicable","unassigned","not-applicable","data/notion-export/raw-page-fetches/wire-cable-brochure.json","asset-class-source-asset;channel-internal-operations;format-reference-record;funnel-internal-operations;persona-internal-operations;problem-not-applicable;product-family-cross-family;readiness-approved;recurrence-not-applicable;scope-signed-primary;solution-cross-family;stage-cross-stage;validation-technical-required;workstream-source-intelligence","Relevant raw child-page input from the 14-page source set. Technical claims require Puretronics validation before use."
"FA-0023","","Wire Tension Indicator raw source page","source-asset","source-record","source-intelligence","tension-braking-line-control","tension-braking-line-control","not-applicable","tension-braking-control","internal-operations","not-applicable","internal-operations","internal-operations","reference-record","Preserve an existing source asset with implementation traceability.","Existing source input; not a new buyer-facing deliverable.","not-applicable","master-implementation-backlog","not-applicable","1","signed-primary","no","high","approved","not-applicable","not-applicable","pending-puretronics-validation","not-applicable","unassigned","not-applicable","data/notion-export/raw-page-fetches/wire-tension-indicator.json","asset-class-source-asset;channel-internal-operations;format-reference-record;funnel-internal-operations;persona-internal-operations;problem-not-applicable;product-family-tension-braking-line-control;readiness-approved;recurrence-not-applicable;scope-signed-primary;solution-tension-braking-line-control;stage-tension-braking-control;validation-technical-required;workstream-source-intelligence","Relevant raw child-page input from the 14-page source set. Technical claims require Puretronics validation before use."
"FA-0024","","Wire Tension Indicator with IoT raw source page","source-asset","source-record","source-intelligence","tension-braking-line-control","tension-braking-line-control","not-applicable","data-reporting-layer","internal-operations","not-applicable","internal-operations","internal-operations","reference-record","Preserve an existing source asset with implementation traceability.","Existing source input; not a new buyer-facing deliverable.","not-applicable","master-implementation-backlog","not-applicable","1","signed-primary","no","high","approved","not-applicable","not-applicable","pending-puretronics-validation","not-applicable","unassigned","not-applicable","data/notion-export/raw-page-fetches/wire-tension-indicator-with-iot.json","asset-class-source-asset;channel-internal-operations;format-reference-record;funnel-internal-operations;persona-internal-operations;problem-not-applicable;product-family-tension-braking-line-control;readiness-approved;recurrence-not-applicable;scope-signed-primary;solution-tension-braking-line-control;stage-data-reporting-layer;validation-technical-required;workstream-source-intelligence","Relevant raw child-page input from the 14-page source set. Technical claims require Puretronics validation before use."
"FA-0025","","Product Master record — Wire Tension Indicator WTI-100-40","source-asset","product-intelligence-record","source-intelligence","tension-braking-line-control","tension-braking-line-control","Wire Tension Indicator WTI-100-40","tension-and-braking-control","production-manager;maintenance-head;automation-engineer;plant-head;sales-engineer","tension-instability","awareness;consideration;technical-evaluation;commercial-discussion;retention-expansion","internal-operations","reference-record","Preserve an existing source asset with implementation traceability.","Existing source input; not a new buyer-facing deliverable.","not-applicable","master-implementation-backlog","not-applicable","1","signed-primary","no","medium","approved","not-applicable","not-applicable","pending-puretronics-validation","not-applicable","unassigned","not-applicable","data/product-master/rows.json# Wire Tension Indicator WTI-100-40","asset-class-source-asset;channel-internal-operations;format-reference-record;funnel-awareness;funnel-commercial-discussion;funnel-consideration;funnel-retention-expansion;funnel-technical-evaluation;persona-automation-engineer;persona-maintenance-head;persona-plant-head;persona-production-manager;persona-sales-engineer;problem-tension-instability;product-family-tension-braking-line-control;product-model-wire-tension-indicator-wti-100-40;readiness-approved;recurrence-not-applicable;scope-signed-primary;solution-tension-braking-line-control;stage-tension-and-braking-control;validation-technical-required;workstream-source-intelligence","Existing Product Master row. Spec confidence: Variant-Dependent. Mapped to a grouped funnel or proof context."
"FA-0026","","Product Master record — Spark Tester IoT Stage 1 Fault Interface","source-asset","support-context-record","source-intelligence","inline-spark-testing-insulation-fault-detection","inline-spark-testing-insulation-fault-detection","Spark Tester IoT Stage 1 Fault Interface","data-reporting-layer","qa-qc-head;automation-engineer;production-manager;sales-engineer","insulation-faults","consideration;technical-evaluation;commercial-discussion;retention-expansion","internal-operations","reference-record","Preserve an existing source asset with implementation traceability.","Existing source input; not a new buyer-facing deliverable.","not-applicable","master-implementation-backlog","not-applicable","1","covered-support","no","medium","approved","not-applicable","not-applicable","pending-puretronics-validation","not-applicable","unassigned","not-applicable","data/product-master/rows.json# Spark Tester IoT Stage 1 Fault Interface","asset-class-source-asset;channel-internal-operations;format-reference-record;funnel-commercial-discussion;funnel-consideration;funnel-retention-expansion;funnel-technical-evaluation;persona-automation-engineer;persona-production-manager;persona-qa-qc-head;persona-sales-engineer;problem-insulation-faults;product-family-inline-spark-testing-insulation-fault-detection;product-model-spark-tester-iot-stage-1-fault-interface;readiness-approved;recurrence-not-applicable;scope-covered-support;solution-inline-spark-testing-insulation-fault-detection;stage-data-reporting-layer;validation-technical-required;workstream-source-intelligence","Existing Product Master row. Spec confidence: Source-Limited. Support context only; never a standalone deliverable."
"FA-0027","","Product Master record — Inline Induction Wire Preheater - 1000 m/min","source-asset","product-intelligence-record","source-intelligence","process-equipment-line-auxiliaries","process-equipment-line-auxiliaries","Inline Induction Wire Preheater - 1000 m/min","pre-extrusion-preheating","production-manager;plant-head;maintenance-head;automation-engineer;sales-engineer","conductor-preheating","awareness;consideration;technical-evaluation;commercial-discussion;retention-expansion","internal-operations","reference-record","Preserve an existing source asset with implementation traceability.","Existing source input; not a new buyer-facing deliverable.","not-applicable","master-implementation-backlog","not-applicable","1","signed-primary","no","medium","approved","not-applicable","not-applicable","pending-puretronics-validation","not-applicable","unassigned","not-applicable","data/product-master/rows.json# Inline Induction Wire Preheater - 1000 m/min","asset-class-source-asset;channel-internal-operations;format-reference-record;funnel-awareness;funnel-commercial-discussion;funnel-consideration;funnel-retention-expansion;funnel-technical-evaluation;persona-automation-engineer;persona-maintenance-head;persona-plant-head;persona-production-manager;persona-sales-engineer;problem-conductor-preheating;product-family-process-equipment-line-auxiliaries;product-model-inline-induction-wire-preheater-1000-m-min;readiness-approved;recurrence-not-applicable;scope-signed-primary;solution-process-equipment-line-auxiliaries;stage-pre-extrusion-preheating;validation-technical-required;workstream-source-intelligence","Existing Product Master row. Spec confidence: Variant-Dependent. Mapped to a grouped funnel or proof context."
"FA-0028","","Product Master record — AX-500 Pneumatic Brake","source-asset","product-intelligence-record","source-intelligence","tension-braking-line-control","tension-braking-line-control","AX-500 Pneumatic Brake","tension-and-braking-control","plant-head;production-manager;maintenance-head;automation-engineer;sales-engineer","braking-control","consideration;technical-evaluation;commercial-discussion;retention-expansion","internal-operations","reference-record","Preserve an existing source asset with implementation traceability.","Existing source input; not a new buyer-facing deliverable.","not-applicable","master-implementation-backlog","not-applicable","1","signed-primary","no","medium","approved","not-applicable","not-applicable","pending-puretronics-validation","not-applicable","unassigned","not-applicable","data/product-master/rows.json# AX-500 Pneumatic Brake","asset-class-source-asset;channel-internal-operations;format-reference-record;funnel-commercial-discussion;funnel-consideration;funnel-retention-expansion;funnel-technical-evaluation;persona-automation-engineer;persona-maintenance-head;persona-plant-head;persona-production-manager;persona-sales-engineer;problem-braking-control;product-family-tension-braking-line-control;product-model-ax-500-pneumatic-brake;readiness-approved;recurrence-not-applicable;scope-signed-primary;solution-tension-braking-line-control;stage-tension-and-braking-control;validation-technical-required;workstream-source-intelligence","Existing Product Master row. Spec confidence: Variant-Dependent. Mapped to a grouped funnel or proof context."
"FA-0029","","Product Master record — LASER-2030","source-asset","product-intelligence-record","source-intelligence","inline-measurement-dimensional-control","inline-measurement-dimensional-control","LASER-2030","online-measurement","production-manager;qa-qc-head;automation-engineer;rd-technical-team;sales-engineer","diameter-variation","awareness;consideration;technical-evaluation;commercial-discussion","internal-operations","reference-record","Preserve an existing source asset with implementation traceability.","Existing source input; not a new buyer-facing deliverable.","not-applicable","master-implementation-backlog","not-applicable","1","signed-primary","no","medium","approved","not-applicable","not-applicable","pending-puretronics-validation","not-applicable","unassigned","not-applicable","data/product-master/rows.json# LASER-2030","asset-class-source-asset;channel-internal-operations;format-reference-record;funnel-awareness;funnel-commercial-discussion;funnel-consideration;funnel-technical-evaluation;persona-automation-engineer;persona-production-manager;persona-qa-qc-head;persona-rd-technical-team;persona-sales-engineer;problem-diameter-variation;product-family-inline-measurement-dimensional-control;product-model-laser-2030;readiness-approved;recurrence-not-applicable;scope-signed-primary;solution-inline-measurement-dimensional-control;stage-online-measurement;validation-technical-required;workstream-source-intelligence","Existing Product Master row. Spec confidence: Complete Source-Backed. Mapped to a grouped funnel or proof context."
